Project Name With Location,Project Name,Location,SIZE1,SIZE2,SIZE3,SIZE4,SIZE5,SIZE6,SIZE7,SIZE8,SIZE9,SIZE10
Ambience Caitriona DLF Phase 3,Ambience Caitriona,DLF Phase 3,6750 4BHK with Servant Room,9700 4BHK,7750 5BHK,11500 5BHK,15000 5BHK Penthouse,,,,,
Ambience Creacions Sector 22,Ambience Creacions,Sector 22,1380 2BHK,1860 3BHK,2781 3BHK With Servant Room,3090 3BHK With Servant Room,3975 4BHK with Servant Room,4422 4BHK Penthouse,7966 4bhk Penthouse,9838 5bhk Penthouse,,
Ambience Lagoon DLF Phase 3,Ambience Lagoon,DLF Phase 3,2400 3BHK with Servant Room,4300 4BHK with Servant Room,5100 5BHK with Servant Room, 5BHK with Servant Room,,,,,,
Anant Raj Maceo Sector 91,Anant Raj Maceo,Sector 91,1310 2BHK,1404 2BHK,1862 3BHK,2320 3BHK,2724 4bhk with Servent Room,,,,,
Ansal Heights Sector 92,Ansal Heights,Sector 92,1320 2BHK,1565 3BHK,1770 3BHK,1935 3BHK,,,,,,
Ansal Highland Park Sector 103,Ansal Highland Park,Sector 103,1361 2BHK,1762 3BHK,1940 3BHK with Servant Room,2670 4BHK with Servant Room,,,,,,
ATS Grandstand Sector 99A,ATS Grandstand,Sector 99A,1550 3BHK,1750 3BHK,2350 3BHK with Servant Room,2850 3BHK with Servant Room,,,,,,
ATS Kocoon Sector 109,ATS Kocoon,Sector 109,1745 3BHK,2095 3BHK with Servant Room,3045 4BHK with Servant Room, 4BHK with Servant Room,,,,,,
ATS Triumph Sector 104,ATS Triumph,Sector 104,2290 3BHK with Servant Room,3150 4BHK with Servant Room, ,,,,,,,
Belvedere Park DLF Phase 3,Belvedere Park,DLF Phase 3,1443 3BHK,1762 4BHK, ,,,,,,,
Bestech Park View Ananda Sector 81A,Bestech Park View Ananda,Sector 81A,1360 2BHK,1810 3BHK,1645 3BHK,1660 3BHK,1790 3BHK,,,,,
Bestech Park View City 1 Sohna Road,Bestech Park View City 1,Sohna Road,1776 3BHK with study,2336 3BHK,2075 3BHK,2567 3BHK,,,,,,
Bestech Park View City 2 Sohna Road,Bestech Park View City 2,Sohna Road,1859 3BHK,2260 3BHK with study,1950 3BHK,2383 3BHK,,,,,,
Bestech Park View Grand Spa Sector 81,Bestech Park View Grand Spa,Sector 81,2660 3BHK with Servant Room,3475 4BHK with Servant Room,4200 4BHK with Servant Room, 4BHK with Servant Room,,,,,,
Bestech Park View Spa Next Sector 67,Bestech Park View Spa Next,Sector 67,1790 3BHK,1935 3BHK,2350 4BHK with Servant Room,2650 4BHK with Servant Room,2685 4BHK With Servant Room,,,,,
BPTP Freedom Park Life Sector 57,BPTP Freedom Park Life,Sector 57,1446 2BHK,2293 3BHK with Servant Room,2587 3BHK with Servant Room,4780 3BHK with Servant Room,5361 5BHK Penthouse,,,,,
BPTP Park Generations Sector 37D,BPTP Park Generations,Sector 37D,1470 3BHK,1760 3BHK,,,,,,,,
BPTP Park Mansions Sector 66,BPTP Park Mansions,Sector 66,3064 4BHK with Servant Room, , ,,,,,,,
BPTP Park Prime Sector 66,BPTP Park Prime,Sector 66,1446 3BHK,2045 3BHK with study,2066 4BHK with Servant Room,,,,,,,
Brisk Lumbini Sector 109,Brisk Lumbini,Sector 109,1194 3BHK,1410 3BHK,1871 3BHK with Servant Room,1900 3BHK with Servant Room,2836 4BHK,,,,,
Carlton Estate (DLF) Golf Course Road,Carlton Estate (DLF) ,Golf Course Road,1100 2BHK,1270 3BHK,1670 4BHK,,,,,,,
CHD Avenue Sector 71,CHD Avenue ,Sector 71,1198 2BHK,1485 3BHK,1620 3BHK,2193 3BHK,2350 4BHK with Servant Room,,,,,
Chintels Paradiso Sector 109,Chintels Paradiso,Sector 109,1785 3BHK,1850 3BHK With Servant Room,2050 3BHK with Servant Room,2630 3BHK with Servant Room,3150 4BHK with Servant Room,,,,,
Chintels Serenity Sector 109,Chintels Serenity,Sector 109,2090 3BHK With Servant Room,2350 3BHK With Servant Room,2925 4BHK with Servant Room, 4BHK with Servant Room,,,,,,
Dhoot Times Residency Sector 63,Dhoot Times Residency,Sector 63,1208 2BHK,1480 3BHK,1502 3BHK,1712 3BHK,2288 4BHK With Servant Room,,,,,
DLF New Town Heights Sector 86,DLF New Town Heights,Sector 86,1930 3 BHK with Servant Room,2364 4BHK with Servant Room,2727 4BHK with Servant Room, 4BHK with Servant Room,,,,,,
DLF New Town Heights Sector 90,DLF New Town Heights,Sector 90,1930 3BHK with Servant Room,2364 4BHK with Servant Room,2727 4BHK with Servant Room, 4BHK with Servant Room,,,,,,
DLF Regal Gardens Sector 90,DLF Regal Gardens,Sector 90,1750 3BHK,2245 4BHK with Servant Room, ,,,,,,,
DLF The Skycourt Sector 86,DLF The Skycourt,Sector 86,1920 3BHK, , ,,,,,,,
DLF Ultima Sector 81,DLF Ultima,Sector 81,2103 3BHK with Servant Room,2845 4BHK with Servant Room, ,,,,,,,
Elevate Home Sector 59,Elevate Home,Sector 59,2095 3BHK,2295 3BHK,2595 3BHK,3395 4BHK With Servant,,,,,,
Emaar Emerald Estate Sector 65,Emaar Emerald Estate,Sector 65,1020 2BHK with Servant Room,1395 3BHK with Servant Room, ,,,,,,,
